Reference, Value, Footprint, Datasheet, LCSC, Alternate PN#, Category, DK_Datasheet_Link, DK_Detail_Page, Description, Digi-Key_PN, Family, MPN, Manufacturer, Status
"C1","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","","","","","","","","",""
"C3","0.1uF","Capacitor_SMD:C_0805_2012Metric","~","C49678","","","","","","","","","",""
"U1","STM32F042F6Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00105814.pdf","C81000","","","","","","","","","",""
"U2","AP2127K-3.3","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2127.pdf","C156285","","","","","","","","","",""
"C4","4.7uF","Capacitor_SMD:C_0805_2012Metric","~","C1779","","","","","","","","","",""
"C2","4.7uF","Capacitor_SMD:C_0805_2012Metric","~","C1779","","","","","","","","","",""
"J1","USB_B_Micro","TRA_KiCad_Footprints:Molex-105017-0001-USBMicroB","~"
"SW2","SW_SPST","TRA_KiCad_Footprints:2PinTactileButton","~"
"R2","10K","Resistor_SMD:R_0805_2012Metric","~","C17414","","","","","","","","","",""
"R6","10K","Resistor_SMD:R_0805_2012Metric","~"
"J4","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"Q1","IRLML6344TRPBF","Package_TO_SOT_SMD:SOT-23","https://www.infineon.com/dgdl/irlml6344pbf.pdf?fileId=5546d462533600a4015356689c44262c","C20917","AO3400A","Discrete Semiconductor Products","https://www.infineon.com/dgdl/irlml6344pbf.pdf?fileId=5546d462533600a4015356689c44262c","/product-detail/en/infineon-technologies/IRLML6344TRPBF/IRLML6344TRPBFCT-ND/2538168","MOSFET N-CH 30V 5A SOT23","IRLML6344TRPBFCT-ND","Transistors - FETs, MOSFETs - Single","IRLML6344TRPBF","Infineon Technologies","Active"
"R5","4.7K","Resistor_SMD:R_0805_2012Metric","~","C17673","","","","","","","","","",""
"R4","4.7K","Resistor_SMD:R_0805_2012Metric","~","C17673","","","","","","","","","",""
"J2","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"R7","100","Resistor_SMD:R_0805_2012Metric","~","C17408","","","","","","","","","",""
"J5","Vin","TRA_KiCad_Footprints:1x02_ScrewTerminal_Phoenix","~"
